"ano","tipo_taxi","dia_semana","hora","volume","tarifa_media","distancia_media"
"2022","green","thursday","12","7059","15.34","124.7"
"2022","yellow","thursday","12","328860","14.89","3.51"
"2022","green","thursday","13","6933","15.38","48.05"
"2022","yellow","thursday","13","334539","15.36","4.28"
"2022","yellow","thursday","14","361238","15.96","5.67"
"2022","green","thursday","14","7853","15.73","78.35"
"2022","yellow","thursday","15","368635","16.23","5.28"
"2022","green","thursday","15","8583","15.92","63.2"
"2022","yellow","thursday","16","363641","16.42","4.89"
"2022","green","thursday","16","8956","15.11","6.6"
"2022","yellow","thursday","17","401717","15.37","6.72"
"2022","green","thursday","17","9552","14.26","58.18"
"2022","green","thursday","18","9338","13.65","48.1"
"2022","yellow","thursday","18","432833","14.17","4.2"
"2022","green","thursday","19","7779","12.97","23.18"
"2022","yellow","thursday","19","392554","13.64","4.72"
"2022","green","thursday","20","5714","13.39","67.49"
"2022","yellow","thursday","20","349441","13.8","4.38"
"2022","yellow","thursday","21","341652","14.04","3.89"
"2022","green","thursday","21","4705","14.14","104.48"
"2022","yellow","thursday","22","315628","14.72","6.07"
"2022","green","thursday","22","3989","15.74","155.17"
"2022","yellow","thursday","23","256598","15.18","4.41"
"2022","green","thursday","23","3062","15.71","35.43"
"2022","green","friday","0","1957","15.67","49.78"
"2022","yellow","friday","0","178037","15.21","4.3"
"2022","green","friday","1","1168","15.45","215.27"
"2022","yellow","friday","1","105761","14.11","4.59"
"2022","green","friday","2","704","15.71","3.37"
"2022","yellow","friday","2","61743","13.89","6.26"
"2022","green","friday","3","447","18.77","4.3"
"2022","yellow","friday","3","35093","15.07","15.98"
"2022","yellow","friday","4","27922","21.42","22.41"
"2022","green","friday","4","469","24.03","186.04"
"2022","green","friday","5","632","22.54","193.0"
"2022","yellow","friday","5","39360","22.27","76.31"
"2022","green","friday","6","2145","16.65","297.85"
"2022","yellow","friday","6","95094","17.81","15.22"
"2022","yellow","friday","7","176336","15.25","17.51"
"2022","green","friday","7","5102","14.8","363.69"
"2022","yellow","friday","8","229912","14.53","8.97"
"2022","green","friday","8","6584","14.14","62.8"
"2022","green","friday","9","6725","14.19","64.1"
"2022","yellow","friday","9","250716","14.3","7.02"
"2022","green","friday","10","6633","14.93","104.24"
"2022","yellow","friday","10","272423","14.28","4.26"
"2022","green","friday","11","6585","15.62","76.57"
"2022","yellow","friday","11","290535","15.97","3.83"
"2022","green","friday","12","6231","15.37","92.85"
"2022","yellow","friday","12","306062","15.08","4.21"
"2022","yellow","friday","13","312206","15.61","4.11"
"2022","green","friday","13","6216","16.23","228.44"
"2022","green","friday","14","7839","16.01","131.69"
"2022","yellow","friday","14","349875","16.05","6.43"
"2022","yellow","friday","15","359466","16.23","6.46"
"2022","green","friday","15","8693","15.69","115.23"
"2022","green","friday","16","8931","15.34","65.86"
"2022","yellow","friday","16","352266","16.13","5.5"
"2022","green","friday","17","9524","14.58","22.41"
"2022","yellow","friday","17","394851","14.78","4.29"
"2022","green","friday","18","9361","14.04","73.37"
"2022","yellow","friday","18","424645","13.65","3.79"
"2022","yellow","friday","19","404402","13.42","5.01"
"2022","green","friday","19","7950","13.71","30.81"
"2022","green","friday","20","5955","13.86","37.95"
"2022","yellow","friday","20","329010","13.82","5.2"
"2022","yellow","friday","21","317438","13.96","4.9"
"2022","green","friday","21","4900","14.76","29.15"
"2022","yellow","friday","22","324993","14.23","3.82"
"2022","green","friday","22","4375","16.01","28.16"
"2022","yellow","friday","23","302929","14.58","4.93"
